Project	ActivityCode	TaskDescription	WeekEnding	PlannedHours	UnplannedHours	TotalHours	Status
SAINBSCZ	CCDCO   		26-Oct-14	0	8.8	8.8	Approved
SAINBSCZ	CCDCO   	comp off	5-Oct-14	0	8.8	8.8	Approved
SAINBSCZ	GCAL    		12-Oct-14	0	37.97	37.97	Approved
SAINBSCZ	GCAL    		19-Oct-14	0	44.99	44.99	Approved
SAINBSCZ	GCAL    		26-Oct-14	0	13.31	13.31	Approved
SAINBSCZ	GHOL    		5-Oct-14	0	18	18	Approved
SAINBSCZ	GHOL    		26-Oct-14	0	35.9	35.9	Approved
SAINBSCZ	ghol    	23-oct-2014holiday	26-Oct-14	0	9.25	9.25	Approved
SAINBSCZ	GHOL    	Declared Holiday	5-Oct-14	0	27.2	27.2	Approved
SAINBSCZ	GHOL    	Declared holiday	26-Oct-14	0	9.25	9.25	Approved
SAINBSCZ	GHOL    	Declared Holiday	26-Oct-14	0	9	9	Submitted
SAINBSCZ	GHOL    	Diwali	26-Oct-14	0	18.05	18.05	Approved
SAINBSCZ	GHOL    	Diwali holiday	26-Oct-14	0	8.8	8.8	Approved
SAINBSCZ	GHOL    	holiday	5-Oct-14	0	8.8	8.8	Approved
SAINBSCZ	GHOL    	Holiday	26-Oct-14	0	8.8	8.8	Approved
SAINBSCZ	GHOL    	Holiday - Diwali	26-Oct-14	0	8.8	8.8	Approved
SAINBSCZ	GHOL    	Leave 24 Oct	26-Oct-14	0	8.8	8.8	Approved
SAINBSCZ	GHOL    	National Holiday	5-Oct-14	0	8.8	8.8	Approved
SAINBSCZ	GLVE    		5-Oct-14	0	8.8	8.8	Approved
SAINBSCZ	GLVE    		26-Oct-14	0	70.85	70.85	Approved
SAINBSCZ	GLVE    	Annual Leave	5-Oct-14	0	9.15	9.15	Approved
SAINBSCZ	GLVE    	Diwali Off	26-Oct-14	0	9	9	Submitted
SAINBSCZ	GLVE    	Earned Leave	26-Oct-14	0	9.25	9.25	Approved
SAINBSCZ	GLVE    	Leave	12-Oct-14	0	8.8	8.8	Approved
SAINBSCZ	GLVE    	Leave	26-Oct-14	0	36.35	36.35	Approved
SAINBSCZ	GTRE    	general training	26-Oct-14	0	27	27	Approved
SAINBSCZ	GTRE    	MSTR	19-Oct-14	0	16.5	16.5	Approved
SAINBSCZ	GTRE    	MSTR	26-Oct-14	0	34.52	34.52	Approved
SAINBSCZ	MEAL    	Meal Task	5-Oct-14	0	14.25	14.25	Approved
SAINBSCZ	MEAL    	Meal Task	12-Oct-14	0	17.5	17.5	Approved
SAINBSCZ	MEAL    	Meal Task	19-Oct-14	0	17.5	17.5	Approved
SAINBSCZ	MEAL    	Meal Task	26-Oct-14	0	16.25	16.25	Approved
SAINBSCZ	NBGHOL  		12-Oct-14	0	8.8	8.8	Approved
SAINBSCZ	NBGLVE  	Leave	5-Oct-14	0	9.2	9.2	Approved
SAINBSCZ	PCM     	Configure Helios SAS Code	5-Oct-14	78.75	0	78.75	Approved
SAINBSCZ	PCM     	Configure Helios SAS Code	12-Oct-14	88	0	88	Approved
SAINBSCZ	PCM     	Configure SAS Code	5-Oct-14	35.2	0	35.2	Approved
SAINBSCZ	PCM     	GO Live Support	5-Oct-14	17.5	0	17.5	Approved
SAINBSCZ	PCSPT   	Application Batch Monitoring	5-Oct-14	10	0	10	Approved
SAINBSCZ	PCSPT   	Application Batch Monitoring	5-Oct-14	29	0	29	Approved
SAINBSCZ	PCSPT   	Application Batch Monitoring	12-Oct-14	20	0	20	Approved
SAINBSCZ	PCSPT   	Application Batch Monitoring	12-Oct-14	58.5	0	58.5	Approved
SAINBSCZ	PCSPT   	Application Batch Monitoring	19-Oct-14	14	0	14	Approved
SAINBSCZ	PCSPT   	Application Batch Monitoring	19-Oct-14	51.1	0	51.1	Approved
SAINBSCZ	PCSPT   	Application Batch Monitoring	26-Oct-14	15	0	15	Approved
SAINBSCZ	PCSPT   	Application Batch Monitoring	26-Oct-14	28.3	0	28.3	Approved
SAINBSCZ	PCSPT   	Application Batch Monitoring	26-Oct-14	10	0	10	Submitted
SAINBSCZ	PCSPT   	Miscallenous Support activities	5-Oct-14	110.7	0	110.7	Approved
SAINBSCZ	PCSPT   	Miscallenous Support activities	12-Oct-14	98.8	0	98.8	Approved
SAINBSCZ	PCSPT   	Miscallenous Support activities	19-Oct-14	2	0	2	Approved
SAINBSCZ	PCSPT   	Miscallenous Support activities	19-Oct-14	150.3	0	150.3	Approved
SAINBSCZ	PCSPT   	Miscallenous Support activities	26-Oct-14	84.9	0	84.9	Approved
SAINBSCZ	PCSPT   	Problem Management	5-Oct-14	10	0	10	Approved
SAINBSCZ	PCSPT   	Problem Management	5-Oct-14	3	0	3	Approved
SAINBSCZ	PCSPT   	Problem Management	12-Oct-14	15	0	15	Approved
SAINBSCZ	PCSPT   	Problem Management	12-Oct-14	1.8	0	1.8	Approved
SAINBSCZ	PCSPT   	Problem Management	19-Oct-14	10	0	10	Approved
SAINBSCZ	PCSPT   	Problem Management	19-Oct-14	4	0	4	Approved
